iter	Passed	Remaining
417	2539	3536
418	2545	3529
419	2551	3523
420	2557	3517
421	2562	3510
422	2568	3503
423	2574	3497
424	2579	3489
425	2586	3484
426	2592	3478
427	2598	3473
428	2603	3465
429	2610	3461
430	2616	3454
431	2621	3446
432	2626	3438
433	2631	3431
434	2637	3425
435	2644	3420
436	2649	3413
437	2655	3406
438	2661	3401
439	2667	3394
440	2674	3389
441	2678	3381
442	2682	3372
443	2687	3365
444	2694	3360
445	2699	3352
446	2704	3345
447	2710	3339
448	2714	3330
449	2720	3324
450	2725	3318
451	2733	3313
452	2739	3307
453	2743	3299
454	2751	3295
455	2757	3289
456	2764	3284
457	2769	3277
458	2774	3270
459	2779	3262
460	2783	3254
461	2788	3247
462	2792	3239
463	2798	3232
464	2802	3224
465	2808	3218
466	2814	3212
467	2820	3206
468	2825	3199
469	2831	3192
470	2837	3187
471	2844	3181
472	2849	3174
473	2854	3167
474	2858	3159
475	2864	3153
476	2870	3146
477	2876	3141
478	2881	3134
479	2887	3128
480	2892	3120
481	2897	3114
482	2903	3107
483	2908	3100
484	2915	3095
485	2922	3090
486	2928	3084
487	2932	3077
488	2938	3070
489	2944	3064
490	2949	3057
491	2956	3052
492	2961	3045
493	2967	3039
494	2974	3034
495	2979	3027
496	2985	3021
497	2991	3015
498	2997	3009
499	3003	3003
500	3010	2998
501	3015	2991
502	3021	2985
503	3027	2979
504	3033	2973
505	3039	2967
506	3045	2961
507	3050	2954
508	3056	2948
509	3061	2941
510	3068	2936
511	3074	2930
512	3080	2924
513	3086	2918
514	3091	2911
515	3097	2905
516	3103	2899
517	3107	2891
518	3114	2886
519	3119	2879
520	3123	2871
521	3128	2865
522	3134	2858
523	3140	2852
524	3146	2847
525	3152	2841
526	3157	2833
527	3163	2828
528	3170	2822
529	3175	2816
530	3181	2810
531	3187	2803
532	3192	2797
533	3198	2790
534	3204	2784
535	3208	2777
536	3215	2772
537	3222	2767
538	3227	2760
539	3234	2755
540	3240	2749
541	3247	2743
542	3254	2738
543	3261	2733
544	3268	2728
545	3275	2723
546	3280	2716
547	3287	2711
548	3292	2704
549	3299	2699
550	3306	2694
551	3313	2688
552	3319	2683
553	3324	2676
554	3331	2670
555	3338	2666
556	3344	2660
557	3352	2655
558	3358	2649
559	3364	2643
560	3370	2637
561	3376	2631
562	3382	2625
563	3389	2619
564	3394	2613
565	3399	2606
566	3405	2600
567	3410	2594
568	3416	2588
569	3422	2582
570	3427	2575
571	3431	2567
572	3436	2560
573	3440	2553
574	3447	2547
575	3453	2542
576	3460	2536
577	3466	2530
578	3471	2524
579	3478	2518
580	3484	2512
581	3488	2505
582	3495	2500
583	3500	2493
584	3505	2486
585	3510	2480
586	3515	2473
587	3519	2465
588	3525	2459
589	3530	2453
590	3537	2448
591	3543	2442
592	3550	2436
593	3555	2430
594	3560	2423
595	3565	2416
596	3570	2410
597	3576	2403
598	3581	2397
599	3588	2392
600	3595	2386
601	3600	2380
602	3606	2374
603	3612	2368
604	3616	2361
605	3621	2354
606	3626	2348
607	3632	2342
608	3637	2335
609	3641	2328
610	3648	2322
611	3653	2316
612	3660	2310
613	3665	2304
614	3670	2297
615	3676	2291
616	3680	2284
617	3686	2278
618	3692	2272
619	3699	2267
620	3705	2261
621	3711	2255
622	3718	2249
623	3723	2243
624	3729	2237
625	3735	2231
626	3741	2225
627	3747	2219
628	3752	2213
629	3759	2207
630	3764	2201
631	3771	2196
632	3776	2189
633	3781	2183
634	3786	2176
635	3793	2170
636	3798	2164
637	3803	2158
638	3808	2151
639	3814	2145
640	3820	2139
641	3826	2134
642	3831	2127
643	3838	2121
644	3843	2115
645	3849	2109
646	3856	2103
647	3862	2098
648	3866	2091
649	3871	2084
650	3875	2077
651	3881	2071
652	3887	2065
653	3892	2059
654	3898	2053
655	3903	2046
656	3908	2040
657	3914	2034
658	3920	2028
659	3926	2022
660	3932	2016
661	3937	2010
662	3942	2003
663	3947	1997
664	3954	1991
665	3959	1985
666	3966	1980
667	3973	1974
668	3978	1968
669	3984	1962
670	3989	1956
671	3995	1950
672	4000	1943
673	4006	1937
674	4012	1931
675	4017	1925
676	4023	1919
677	4029	1913
678	4035	1907
679	4042	1902
680	4048	1896
681	4053	1890
682	4059	1884
683	4065	1878
684	4072	1872
685	4077	1866
686	4083	1860
687	4089	1854
688	4095	1848
689	4102	1843
690	4109	1837
691	4114	1831
692	4119	1824
693	4125	1819
694	4130	1812
695	4135	1806
696	4141	1800
697	4148	1794
698	4155	1789
699	4162	1783
700	4168	1777
701	4174	1772
702	4181	1766
703	4188	1761
704	4194	1754
705	4199	1748
706	4204	1742
707	4211	1736
708	4217	1731
709	4223	1725
710	4229	1719
711	4235	1713
712	4241	1707
713	4247	1701
714	4254	1695
715	4261	1690
716	4267	1684
717	4272	1678
718	4279	1672
719	4286	1667
720	4292	1661
721	4299	1655
722	4305	1649
723	4310	1643
724	4317	1637
725	4325	1632
726	4332	1626
727	4337	1620
728	4344	1615
729	4350	1609
730	4356	1603
731	4362	1597
732	4369	1591
733	4375	1585
734	4381	1579
735	4387	1573
736	4392	1567
737	4399	1561
738	4405	1555
739	4411	1549
